state,cantidad,localidad
North Carolina,2,513/lexingtonKY
North Carolina,1,undecided
North Carolina,3,SOUL CLAP/ STAR TIME/BBE
North Carolina,2,"Apex, NC"
North Carolina,1,New York / Bahamas
North Carolina,4,"Cary, NC"
North Carolina,5,"Chapel Hill, NC"
North Carolina,3,"Raleigh,NC"
North Carolina,1,"Fremont, CA"
North Carolina,1,"Jackson County, Oregon"
North Carolina,2,murfreesboro
North Carolina,6,"las vegas/nashville, TN"
North Carolina,3,Washington-Vancouver-MedellÃ­n
North Carolina,1,"Columbia, South Carolina"
North Carolina,4,"Frisco, Texas"
North Carolina,3,One of the C-gates at EWR.
North Carolina,14,Dallas
North Carolina,2,"Denver, CO. USA"
North Carolina,2,â¢ PSU '19 â¢ faith â¢ 
North Carolina,1,"Midvale, UT"
North Carolina,3,"Waco, TX"
North Carolina,4,"Charlotte, NC | KÃ¶ln, NRW"
North Carolina,1,"dublin, ohio"
North Carolina,22,"Asheville, NC"
North Carolina,1,"Beaufort, South Carolina"
North Carolina,1,interstellar
North Carolina,1,Winterville NC
North Carolina,2,minneapolis
North Carolina,2,South Carolina
North Carolina,10,"Scottsdale, AZ"
North Carolina,1,NEONgarden
North Carolina,8,"columbus, oh"
North Carolina,1,"Naples, FL"
North Carolina,1,Central Pennsylvania
South Carolina,1,"Lexington, MA"
South Carolina,10,North West of England
South Carolina,1,"Chesapeake, VA"
South Carolina,3,Milky Way:Orion Arm:Earth:DFW
South Carolina,1,MichaelKay Ward DeLa Hoya HHH
South Carolina,1,district of columbia
South Carolina,2,"Tuscaloosa, Alabama"
South Carolina,3,"Buffalo, New York"
South Carolina,1,"75 Drayton Park, London, UK"
South Carolina,4,"Moore, OK & Woodway, TX"
South Carolina,3,"Missouri, unfortunately."
South Carolina,1,"Olympia, WA  â Charleston, SC"
South Carolina,1,Brooklyn to Across the Globe
South Carolina,2,Hollywood
South Carolina,1,"Isle of Palms, SC"
South Carolina,1,The Ted Williams Tour
South Carolina,4,Salt Lake City
South Carolina,6,planet earth
South Carolina,1,Little Rock
South Carolina,1,Anderson
South Carolina,6,Central Perk
South Carolina,1,"Clemson, SC"
South Carolina,2,Easley SC
South Carolina,1,"Fort Mill, SC"
South Carolina,5,"Orlando, Florida"
South Carolina,22,new york city
South Carolina,1,"Beaufort, SC"
South Carolina,1,"St. Louis to Parris Island, SC"
South Carolina,6,Ft. Lauderdale
South Carolina,2,Nova Scotia
Georgia,3,New York/New Jersey
Georgia,2,"Suwanee, GA"
Georgia,1,"Tucker,  GA"
Georgia,3,"Duluth, MN"
Georgia,4,Dallas via NYC via the OC
Georgia,5,Tri State NY area...
Georgia,2,"waco, texas"
Georgia,1,THE ROCK - hive
Georgia,11,Atlanta
Georgia,7,"Louisville, KY"
Georgia,1,"Manassas, Virginia"
Georgia,1,"Palo Alto, California"
Georgia,1,Tiger Town
Georgia,2,"Bangkok, Thailand"
Georgia,1,"Lexington, KY"
Georgia,3,Tacoma Washington
Georgia,1,"Windermere, Florida"
Georgia,91,"San Francisco, CA"
Georgia,1,Minnetonka
Georgia,2,Evansville - LA - NOLA
Georgia,2,"Harlem, NYC"
Georgia,1,"Bonaire, GA"
Georgia,3,"Pittsburgh, Pa"
Georgia,1,"Roseville, California"
Georgia,1,"Savannah, GA"
Georgia,1,"Douglas, MA"
Georgia,1,"Hoboken,NJ"
Georgia,3,"Adelaide, South Australia"
Georgia,1,Barneys New York 
Georgia,6,"Boston, MA "
Georgia,1,"Fargo, ND ( & Tucson, AZ)"
Georgia,6,"Nashville,TN"
Georgia,1,Long Island / Albany
Georgia,7,"Omaha, NE"
Georgia,3,Columbus OH
Florida,2,"Callahan, FL"
Florida,2,"NC by day, DC by night...."
Florida,3,"salt lake city, utah"
Florida,2,"Fernandina Beach, FL"
Florida,1,"Honolulu, HI"
Florida,2,"Astoria, New York"
Florida,1,"San Mateo, CA & Las Vegas, NV"
Florida,22,"Tallahassee, FL"
Florida,1,"Panama City, Florida"
Florida,1,Boston | Waltham
Florida,2,New York | Nomad
Florida,1,22nd Century
Florida,1," Bronx, NY / Destin, Fl"
Florida,5,"Bellevue, WA"
Florida,1,"Mount Dora, Florida"
Florida,1,Orlando Florida. (Winter Park)
Florida,4,"Orlando, FL"
Florida,8,"Melbourne, Australia"
Florida,2,"indialantic, fl"
Florida,1,Satellite Beach Fl.
Florida,2,Home sweet Hollywood Home
Florida,10,"Miami, FL"
Florida,6,Miami Beach
Florida,4,"Fort Lauderdale, FL"
Florida,2,West Palm Beach
Florida,2,"Royal Palm Beach, FL, USA"
Florida,2,"Boca Raton, FL"
Florida,1,Jupiter
Florida,4,roblox.com
Florida,1,West Palm Beach 
Florida,2,"Zephyrhills, Florida"
Florida,3,Saint Leo 
Florida,5,"San Antonio, Texas"
Florida,4,sf - austin - sydney
Florida,1,"Valrico, Florida"
Florida,8,"Tampa, Florida"
Florida,1,Largo florida
Florida,6,South Florida 
Florida,4,NY (Globetrotter.ExBonaerense)
Florida,2,"Fort Myers, Florida"
Florida,2,The Center of My Universe
Florida,1,Westeros
Florida,6,"Sarasota, FL"
Florida,1,DC - LA - Venice Beach
Florida,1,"Spring HIll, FL"
Florida,4,Gotham
Florida,1,Oakland via Midwest 
Florida,1,Windermere (seattle)
Alabama,1,"Logan Square, Chi / Austin, TX"
Alabama,2,"birmingham, usa"
Alabama,4,"Detroit, MI"
Alabama,1,Fayette County/Oakland #901
Alabama,16,"Houston, Texas"
Alabama,9,"Kansas City, MO"
Alabama,1,"West Covina, CA"
Alabama,5,Nevada
Alabama,4,Leighton Buzzard
Alabama,2,"North Hollywood, CA"
Alabama,3,"Baltimore, Maryland"
Alabama,1,"Huntsville, AL"
Alabama,5,Nashville/Space
Alabama,1,West Wickham Kent ! 
Alabama,6,Louisville
Alabama,1,"Alexandria, Va"
Alabama,1,The District of Columbia
Alabama,1,Ozarks
Alabama,4,Brooklyn =)
Alabama,2,shopping. anywhere  
Alabama,1,"Orange County, USA"
Alabama,1,"Perdido Key, FL"
Alabama,1,"Mobile, AL."
Alabama,2,"Edmonton, Alberta, Canada"
Alabama,1,"Arlington,Tx"
Alabama,1,"Tyler, Texas"
Alabama,1,"Opelika, Alabama "
Alabama,4,Silicon Valley
Alabama,2,"Needham, MA"
Alabama,1,moving forward... 
Alabama,18,"New York City, NY"
Tennessee,3,Chapel Hill
Tennessee,2,Cali native now in Charlotte
Tennessee,1,gathering just enough moss
Tennessee,2,"Murfreesboro, TN"
Tennessee,6,the one and only TEXAS!!!!
Tennessee,3,"Portland, ME"
Tennessee,4,Nashville
Tennessee,1,"Charleston, WV"
Tennessee,11,Memphis
Tennessee,1,The Rugby Universe 
Tennessee,1,"Salt Lake City, USA"
Tennessee,2,"Louisville, KY "
Tennessee,2,"philadelphia, pa"
Tennessee,1,"Powell, TN"
Tennessee,1,"Arlington, Virginia "
Tennessee,3,"Brighton, UK
"
Tennessee,1,"Collierville, TN USA"
Tennessee,1,Gates Ave- Brooklyn
Tennessee,1,"Grand Junction, Colorado"
Tennessee,1,"Oakland, Ca"
Tennessee,1,houston paris nyc 
Tennessee,4,Nueva York
Tennessee,1,yuma az
Tennessee,4,New Hampshire
Tennessee,1,"Celina, TX"
Mississippi,1,University of Vermont
Mississippi,1,"Walnut Creek, CA when I'm ther"
Mississippi,1,Fl...oating off into space
Mississippi,1,San Francisco & Scottsdale
Mississippi,2,Shawano WI
Mississippi,5,MiamiHoustonDCHouston
Mississippi,1,"Charleston, SC and the Earth"
Mississippi,1,OAKLAND CALIFORNIA
Mississippi,1,Cardiff and London
Mississippi,6,"Lake County, Illinois"
Mississippi,1,Broad & Pattison
Mississippi,2,Raleigh
Mississippi,2,The Lone Star State
Mississippi,3,Washington D.C. 
Mississippi,5,Midwest
Mississippi,1,"Flowood, MS"
Mississippi,2,"Miami/Ft. Lauderdale, FL"
Mississippi,1,"Louisville, KY. "
Mississippi,1,philadelphia
Mississippi,3,Brooklyn by way of Chicago
Mississippi,1,"Long Beach, NY"
Mississippi,2,"Kokomo, IN"
Mississippi,3,Ho-Flo/Columbus/NYC
Georgia,1,Arlington Va
Kentucky,1,"Bardstown, KY"
Kentucky,1,Crestwood
Kentucky,5,"Boston, Massachusetts"
Kentucky,1,"Cadiz/Louisville, Kentucky"
Kentucky,2,"Irvine, Ca"
Kentucky,3,"ORLANDO, FL"
Kentucky,1,Richmond and Virginia Beach
Kentucky,1,"Bushwick, Bkln"
Kentucky,6,"London, UK"
Kentucky,2,Pittsburgh 
Kentucky,9,Southern California
Kentucky,1,"Melbourne, Australia "
Kentucky,1,Bellevue Washington
Kentucky,3,"Washington, DC. "
Kentucky,7,"South Shore, MA"
Kentucky,6,1/1 loner squad
Kentucky,1,"Wrigley, California â"
Kentucky,15,Canada
Kentucky,1,"Maidstone, UK"
Kentucky,1,"Eastern Time, United States"
Kentucky,2,Maryland and Washington D.C.
Kentucky,1,"Philadelphia, PA USA"
Kentucky,1,"Happy Valley, Oregon "
Kentucky,1,"Arlington, Texas"
Kentucky,2,Mentor/Columbus
Kentucky,15,"Austin, Texas"
Kentucky,6,Edmonton
Kentucky,8,"39.0708Â° N, 106.9886Â° W"
Kentucky,1,"Oakland, California"
Kentucky,2,Park City
Kentucky,1,"Q's, Staples Center"
Kentucky,19,Rhode Island
Kentucky,2,"Sacramento, CA 95864"
Kentucky,2,"Buffalo, Ny"
Ohio,3,Santo Domingo 
Ohio,1,London Heathrow.
Ohio,1,"Powell, OH"
Ohio,2,"Urbana, IL"
Ohio,2,"Westerville, Ohio"
Ohio,2,"Columbus,Ohio"
Ohio,1,"Philadelphia, Pa"
Ohio,4,Nashville Tennessee
Ohio,2,Baltimore
Ohio,5,"NEIN, London, or Maui. "
Ohio,3,I'm just a kid from Oak Harbor
Ohio,1,"Fort Wayne, IN"
Ohio,8,Grand Rapids
Ohio,2,"minneapolis, mn"
Ohio,22,McKinney TX
Ohio,4,Oregon
Ohio,2,Bethesda MD
Ohio,1,"Buffalo, New York, Florida"
Ohio,1,"cambridge, maryland"
Ohio,1,"Fresno, CA"
Ohio,1,Amsterdam/Malibu
Ohio,1,Bellaire TX
Ohio,1,Richmond Virginia 
Ohio,22,Toronto
Ohio,1,"Ashtabula, OH"
Ohio,7,"mentor, Ohio"
Ohio,2,Burbank
Ohio,3,"Greenbow, Alabama"
Ohio,1,KENTUCKINMYSHIRT
Ohio,1,Louisville KY 
Ohio,2,"Nashville, tn "
Ohio,2,"Shreveport, Louisiana"
Ohio,1,"Birmingham, Michigan"
Ohio,8,Kansas City
Ohio,1,California/Nevada
Ohio,2,NOVA
Ohio,5,"Ottawa, Ontario"
Ohio,2,"San Antonio, Republic of Texas"
Ohio,1,"Tiffin, Ohio"
Ohio,2,Brossard
Ohio,1,"Loveland, Ohio"
Ohio,1,Terrace Park OH
Ohio,5,"Cincinnati, OH"
Ohio,4,Mannahatta
Ohio,4,Houston Texas
Ohio,10,"Russia, Ð Ð¾ÑÑÐ¸Ñ"
Ohio,1,"Tipp City, Ohio  "
Ohio,3,'Straya'
Ohio,1,Portland
Ohio,1,"Reno, NV"
Ohio,2,syracuse
Ohio,5,"Vancouver, Canada"
Ohio,1,"Algiers, Algeria"
Ohio,1,"arlington, va"
Ohio,4,Inter/Outer-Continental U.S.
Ohio,3,"Ottawa,Canada "
Ohio,1,Scottsdale
Indiana,4,"Austin, TX | Atlanta, GA"
Indiana,1,"Arlington, TX"
Indiana,3,Planet Brooklyn
Indiana,2,"Charlottesville, VA."
Indiana,6,"Indianapolis, IN"
Indiana,1,Calgary
Indiana,2,"Culver City, CA"
Indiana,3,"Elkhart, Indiana"
Indiana,1,"Syracuse, New York"
Indiana,2,Orlando 
Indiana,1,Philadelphia/Cali
Indiana,2,Denver 
Indiana,3,"Albuquerque,New Mexico "
Indiana,4,"Miami, New York, Boston"
Indiana,5,san francisco califorania
Indiana,1,"Champaign/Urbana, IL"
Indiana,6,Austin
Indiana,4,Central NJ
Indiana,3,"Memphis, Tennessee"
Indiana,28,Pekin
Indiana,1,"Sacramento, CA / Columbus, OH"
Indiana,5,boston
Indiana,1,"Portland,OR--Tempe,AZ"
Indiana,1,Bloomington/San Francisco
Indiana,2,NYC/Nashville
Indiana,2,"New Orleans, LA, USA"
Indiana,2,"Washington, DC - USA"
Indiana,2,ft Lauderdale
Indiana,1,Evanston Illinois
Indiana,2,Northern Ireland
Indiana,1,"Chandler, AZ "
Indiana,86,San Francisco
Indiana,2,Brazil
Indiana,2,Brooklyn NY
Indiana,1,"WCHOB, Buffalo, NY"
Michigan,1,âï¸ Birmingham âï¸ Brooklyn âï¸
Michigan,2,Memphis TN
Michigan,1,"Columbus, OH, USA"
Michigan,2,Washington
Michigan,1,Vancouver - Ann Arbor
Michigan,1,Brighton
Michigan,1,erie pa
Michigan,6,"Florida Raised, NYC Based "
Michigan,1,"Wayne,PA USA"
Michigan,2,"Detroit, Michigan "
Michigan,1,"Oak Park, IL"
Michigan,1,Oakland
Michigan,1,"Novi, MI"
Michigan,2,"West Hollywood, CA"
Michigan,2,"Crystal Lake, IL"
Michigan,2,"Raleigh, North Carolina"
Michigan,2,"Charlottesville, Virginia"
Michigan,1,Bey-Land. Eagle Nation.
Michigan,1,Ithaca til May 2015
Michigan,2,New Orleans/Dallas
Michigan,1,Palo Alto CA
Michigan,1,fuckin portland ass oregon
Michigan,3,Saint Louis
Michigan,3,"Winnipeg, MB Canada"
Michigan,1,Kalamazoo & Chicago
Michigan,1,"Grand Junction, CO"
Michigan,2,Nashville TN
Michigan,1,Scottsdale Arizona
Michigan,1,"29 Sawyer Rd., Waltham, MA"
Michigan,2,"Brooklyn, New York"
Michigan,4,"Toronto, Canada"
Michigan,1,Los Angeles/SF/Palo Alto
Michigan,1,"Branchburg, NJ"
Michigan,1,"Grandville, Michigan"
Michigan,1,New Hartley
Michigan,5,Grimsby - UK
Michigan,2,"Grand Rapids, Michigan"
Michigan,2,Indianapolis & environs
Michigan,1,"Lake City, MN"
Michigan,3,"Atlanta, GA USA"
Michigan,5,Fredericton NB
Michigan,2,On the road to paradise
Michigan,1,a cell tower
Michigan,1,Dominican Republic
Michigan,4,"Round Rock, TX"
Iowa,1,Philadelphia PA 
Iowa,1,"Central Sq. Cambridge, MA"
Iowa,4,Colombia
Iowa,2,Galt Gulch
Iowa,5,Flying Giraffe Travel
Iowa,1,Madrid (Spain)
Iowa,1,"Melbourne, Aus"
Iowa,1,AREA 51 NEVADA 
Iowa,9,"Milwaukee, WI"
Iowa,1,"West Des Moines, IA"
Iowa,3,"Des Moines, IA"
Iowa,3,"Ventura, California"
Iowa,2,"Sac City, IA"
Iowa,2,"Austin, but often Denver"
Iowa,1,"Here, There or En Route, "
Iowa,1,"Salt Lake City, Utah "
Iowa,5,"Vail, CO"
Iowa,1,In Oakland; Hoosier at heart
Iowa,1,New York + Panama
Iowa,2,10 Miles South of Nowhere
Iowa,2,Brooklyn NY.
Iowa,1,@ the moment in New Delhi
Iowa,1,Most likely Costco
Iowa,1,bev. hills!
Iowa,5,"Iowa City, IA"
Iowa,1,North Carolina/LosAngeles
Iowa,1,"Palo Alto, CA"
Iowa,2,"Washington DC, New York"
Iowa,1,"Birmingham, AL
"
Iowa,5,Cincinnati
Iowa,14,"Plano, Texas"
Iowa,1,"bettendorf, ia"
Iowa,1,"Charlotte, NorCack"
Wisconsin,1,"Rixensart, Belgium"
Wisconsin,1,"Menomonee Falls, WI, USA"
Wisconsin,4,Sheboygan
Wisconsin,3,"Kenosha, WI"
Wisconsin,6,Milwaukee
Wisconsin,1,Joe Louis Arena/Goggin Ice Ctr
Wisconsin,1,"New York, NY | Brooklyn"
Wisconsin,2,OREGON
Wisconsin,2,"Plain Ol Plano, TX"
Wisconsin,1,NYC/Columbus/Chicago
Wisconsin,3,ONTARIO CANADA
Wisconsin,1,Sunny mountains of Arizona
Wisconsin,2,Brussels
Wisconsin,1,"Egg Harbor, WI"
Wisconsin,1,northern ireland
Wisconsin,4,Montreal
Wisconsin,2,"London, Ontario, Canada"
Wisconsin,3,Hawaii/Dallas/Tucson/LA
Wisconsin,3,Winterfell
Wisconsin,1,"Fort Lauderdale, Fl"
Wisconsin,2,looking for alaska
Wisconsin,1,"neenah, wi"
Minnesota,2,Anoka MN
Minnesota,1,Vuhginyah 
Minnesota,3,"Santiago, Chile"
Minnesota,2,Minneapolis
Minnesota,1,"Grand Rapids, MI"
Minnesota,2,"McKinney, Texas"
Minnesota,1,District of Corruption
Minnesota,14,Virginia
Minnesota,2,"Duluth, GA"
Minnesota,5,austin
Minnesota,3,Houston TX
Minnesota,1,"Mabel, MN"
Minnesota,3,"san marcos,ca"
Minnesota,1,"11 W Boston St Chandler, AZ"
Minnesota,2,"National, based in Texas"
Minnesota,1,"Bellingham, Washington"
Minnesota,1,Lubbock Texas
Minnesota,1,"Oak Park, IL "
Minnesota,2,"Thunder Bay, ON, Canada"
Minnesota,2,The next President of Libya
Minnesota,1,"Calgary, Canada"
Minnesota,1,"Kentucky, USA"
South Dakota,1,"Brookings, SD"
South Dakota,4,ChÃ¢teau d'If
South Dakota,2,"Astoria, NY"
South Dakota,5,toronto
South Dakota,4,Planet Earth
South Dakota,8,Inquiries: CAA  â¢  Miller PR 
South Dakota,1,Mind Tripping
South Dakota,3,"Dallas, TX "
South Dakota,2,"Mission, Kansas"
South Dakota,1,Caywood
South Dakota,1,www.bucknellbison.com
South Dakota,2,"Hermosa Beach, CA"
South Dakota,1,"sunnyvale, ca"
South Dakota,1,"Rockwall, TX USA"
North Dakota,14,Michigan
North Dakota,1,"Mountain View, CA "
North Dakota,1,New Jersey / Munich
North Dakota,10,New York 
North Dakota,3,"Fullerton, CA"
North Dakota,1,SportsCenter
North Dakota,2,Raleigh NC
North Dakota,1,"Solent - Hamble, Lymington"
North Dakota,14,On a beach
North Dakota,10,New England 
North Dakota,1,"Columbus, Ohio USA"
North Dakota,1,Across America
North Dakota,3,"Surrey, UK"
Montana,1,"Columbus, Ohio, USA"
Montana,2,"Fort Smith, Ark."
Montana,2,Out to Brunch with @Kanyewest.
Montana,1,"Rotterdam, the Netherlands"
Montana,1,"Park City, UT"
Montana,1,Capitol Hill D.C. 
Montana,5,"Boulder, CO"
Montana,1,"Bozeman, Montana"
Montana,2,Northern California/MedellÃ­n
Montana,3,"Manhattan, NY"
Montana,1,Los Angeles/Charlotte
Montana,1,Paradise Falls
Montana,1,Kalispell Montana
Illinois,2,"Golftown, USA"
Illinois,1,Great Lakes
Illinois,1,"Berkeley, CA"
Illinois,104,Chicago
Illinois,6,CONCRETE JUNGLE
Illinois,2,manhattan. 
Illinois,7,"Fort Worth, TX"
Illinois,2,Downers Grove
Illinois,3,"Naperville, IL "
Illinois,1,"Oswego, NY"
Illinois,5,"Plano, TX"
Illinois,1,Danmark
Illinois,15,Ohio
Illinois,2,Ottawa/St.Louis
Illinois,1,13Curious
Illinois,1,Vermont
Illinois,1,"Fife, Dunfermline"
Illinois,2,"Liverpool, NY"
Illinois,2,Washington DC Metro
Illinois,3,Las Vegas & Atlanta
Illinois,6,"El Paso, TX"
Illinois,1,"Gridley, CA. "
Illinois,4,Usually in a plane
Illinois,11,San Francisco Bay Area
Illinois,1,Charleston
Illinois,6,"Arkansas, USA"
Illinois,1,Redmond WA 
Illinois,2,"Downtown Dallas, Texas"
Illinois,1,"Spokane, WA"
Illinois,1,"Venice, CA"
Illinois,1,The Land of Twitter
Illinois,1,nyc/nashville/san diego
Illinois,7,Tennessee
Illinois,1,"Annapolis, Maryland"
Illinois,2,PanamÃ¡
Illinois,7,"San Jose, CA"
Illinois,4,West Virginia
Illinois,1,#BrownsNation 
Illinois,1,Fort Lauderdale-Dallas-Boston
Illinois,5,"okinawa, japan"
Illinois,5,#Omaha 
Illinois,1,Where You Wanna Be
Illinois,1,"Hurst, TX"
Illinois,2,Metropolis
Illinois,2,Pittsburgh area
Illinois,1,"raleigh, nc"
Missouri,1,Pacific Northwest
Missouri,2,Washington DC 
Missouri,2,"Saint Louis, MO USA"
Missouri,1,"New Orleans, Louisiana"
Missouri,1,Philadelphia PA
Missouri,2,"Atlanta, GA & St Augustine, FL"
Missouri,2,Murfreesboro- Memphis  
Missouri,1,"Frisco, TX"
Missouri,3,"Kearney, Nebraska"
Missouri,8,"Tulsa, OK"
Missouri,5,"Kansas City, Missouri"
Missouri,4,KCMO
Missouri,1,"Denver, CO, USA"
Missouri,19,Does it really matter
Missouri,3,"Fort Worth, Texas"
Missouri,3,"Buenos Aires, Argentina"
Missouri,1,Amsterdam NL
Missouri,9,"San Francisco, California"
Missouri,1,Dallas/Eugene
Missouri,4,"Sunrise Beach, MO"
Missouri,3," Mexico, D.F."
Missouri,4,"Miami, Florida, USA"
Missouri,1,Duke University Class of 2018
Missouri,2,"Houston TX
"
Missouri,2,"Montreal, Quebec CA"
Missouri,2,hertz's couch 
Missouri,1,"Monett, MO"
Missouri,1,WDVE PITTSBURGH
Missouri,1,"Bali, Republic of Indonesia"
Kansas,2,Chicago / Orlando / airplanes
Kansas,1,ottawa
Kansas,5,Kansas City MO
Kansas,2,"SMALL TOWN, USA"
Kansas,4,my top secret gaming facility
Kansas,3,"Overland Park, KS"
Kansas,2,Far From Home
Kansas,2,Manhattan 
Kansas,1,columbus
Kansas,30,"Las Vegas, NV"
Kansas,1,Pittsburgh â now & forever
Kansas,4,"NYC, Toronto "
Kansas,2,"Washington, DC, USA"
Kansas,2,"Atlanta, Georgia"
Kansas,1,"Nashville, Tennessee"
Kansas,2,"Rocklin, CA"
Kansas,4,"Wichita, Kansas"
Kansas,1,"minneapolis,mn"
Kansas,6,Tampa
Kansas,1,"Rozelle, NSW"
Kansas,1,instagram:Torrinichelle
Kansas,5,St. Catharines
Kansas,8,Long Island
Kansas,1,Living in a Gangsters Paradise
Kansas,4,GEM HQ (aka walk-in closet) NY
Kansas,1,Parkland Fl
Nebraska,1,"Hoops City (Memphis, TN)"
Nebraska,2,"Silicon Valley, California"
Nebraska,1,Washington D.C. / Northern VA
Nebraska,4,"Omaha, Nebraska"
Nebraska,1,The Friendzone
Nebraska,7,Hong Kong
Nebraska,4,Virginia & Cali
Nebraska,2,Northwestern NJ
Nebraska,10,new york
Nebraska,1,"Raleigh, North Carolina, USA"
Nebraska,2,"mclean, va"
Nebraska,1,Naperville
Nebraska,6,Pocos de Caldas
Nebraska,1,ATLANTA 
Nebraska,3,"Loomis, CA (Near SacTown)"
Nebraska,2,OAK
Nebraska,1,"New Orleans, La"
Nebraska,1,"Hershey, PA"
Louisiana,5,"camas, wa"
Louisiana,1,"Los Angeles, New Orleans!"
Louisiana,4,Luxembourg
Louisiana,1,"Slum Village, NY"
Louisiana,2,Sunny Florida
Louisiana,1,"Atascadero, CA"
Louisiana,1,"Boston, MA - Scottsdale, AZ"
Louisiana,1,Washington DC Metro Area
Louisiana,4,Iowa
Louisiana,1,Pride Rock 
Louisiana,2,Sunshine State
Louisiana,1,wherever uncle sam sends me
Louisiana,3,"Baton Rouge, LA"
Louisiana,5,South Florida
Louisiana,1,"Atlanta, Ga. "
Louisiana,1,â¢ Lacrosse ||'17|| Football â¢
Louisiana,3,"Obersulzbach, Germany"
Louisiana,3,"Natchitoches, LA"
Louisiana,1,"La Jolla, California "
Arkansas,3,Southern New Jersey
Arkansas,1,"Nashville, Tn"
Arkansas,1,"washington, d.c."
Arkansas,3,"Austin, TX, USA"
Arkansas,5,"London, England"
Arkansas,5,"College Station, TX"
Arkansas,1,Buck Guy City
Arkansas,2,"Houston, TX, USA"
Arkansas,1,Founder @catapultgrp @ilikeoi
Arkansas,1,Terra Prime
Arkansas,11,"Bay Area, CA"
Arkansas,1,"Chorley, Lancashire"
Arkansas,1,London-Manila
Arkansas,1,The Ohio State University
Arkansas,1,NYC | DC | Charlotte | Vegas
Arkansas,4,Michigan â¡ï¸ Florida
Arkansas,1,GOLD COAST / MELBOURNE
Arkansas,1,"brown deer, wi"
Arkansas,2,"Omaha, NE "
Arkansas,1,Twittersphere
Arkansas,5,London 
Arkansas,6,NYC | NOLA  
Oklahoma,1,Email: Alex@ditmasla.com
Oklahoma,3,"Edmond, Oklahoma"
Oklahoma,1,Cornfields
Oklahoma,1,"Mustang, Oklahoma"
Oklahoma,1,orlando
Oklahoma,1,"Near Washington, DC"
Oklahoma,1,DC/OKC
Oklahoma,3,Oklahoma City
Texas,2,"Austin, Texas area"
Oklahoma,4,Saint Maur des FossÃ©s
Oklahoma,3,Chasing Carmen San Diego
Oklahoma,2,New Jet City
Oklahoma,5,Oklahoma
Oklahoma,1,South Carolina/Nashville
Oklahoma,1,"south gate, california"
Oklahoma,1,I forgot - Earth Maybe??
Oklahoma,17,Massachusetts
Oklahoma,1,Aspiring Disney princessâ¨
Oklahoma,3,"Kansas City, MO USA"
Oklahoma,3,Miami | Puerto Rico 
Oklahoma,1,Rose Bubble
Oklahoma,1,Canadian planted in USA
Oklahoma,1,"okayville, population me"
Oklahoma,1,Midwest + Airplanes
Oklahoma,1,pittsburgh
Oklahoma,3,BB PIN:28AF78F4
Oklahoma,2,"Guadalajara, MÃ©xico"
Oklahoma,1,Instagram: @rad_mika
Oklahoma,5,San Francisco CA
Oklahoma,1,Saint LOUis
Texas,1,PlanoTexas
Texas,1,"Rockwall, TX"
Texas,1,"mckinney, tx"
Texas,1,"Valsayn, Trinidad"
Texas,3,"Dallas,Tx"
Texas,10,DFW
Texas,1,Helsinki Airport
Texas,1,"Dallas, or sometimes Detroit"
Texas,2,"Sands Point, NY"
Texas,1,Atlanta Georgia
Texas,1,Nashville/NYC
Texas,2,Omaha
Texas,3,"Indianapolis, Indiana; USA"
Texas,1,Lone Star State
Texas,1,suburbs of Pittsburgh....
Texas,5,"Vancouver, CA"
Texas,1,"Rialto, Ca"
Texas,1,this place called NYC
Texas,3,"Euless, Texas"
Texas,2,Dallas Fort Worth
Texas,3,Loving the Languageof Literacy
Texas,1,"Wichita Falls, Texas"
Texas,5,san francisco
Texas,3,"St. Augustine, Florida"
Texas,2,Italy
Texas,1,"charlotte, north carolina"
Texas,4,midwest and sometimes Spain
Texas,15,Earth
Texas,1,"Bend, OR"
Texas,4,"London, ON'"
Texas,1,Where the miles are
Texas,1,BrendaPriddyAndCompany.com
Texas,2,The 2nd star to the right 
Texas,2,"Carlsbad, CA"
Texas,1,"Silver Spring,MD"
Texas,1,HOUSTON 
Texas,5,Someplace saving something
Texas,3,"CO Springs, Occupied Colorado"
Texas,1,UK / Canada / etc
Texas,1,"Rosenberg, Texas"
Texas,3,"Beijing, China"
Texas,2,Nederland
Texas,4,College Station
Texas,1,"WASHINGTON HEIGHTS, NYC "
Texas,1,"Charlotte,NC"
Texas,1,"New Braunfels, TX"
Texas,4,San Antonio
Texas,38,San Diego
Texas,6,Corpus Christi
Texas,1,This is an AD account. 18+
Texas,1,Roma
Texas,1,San Juan Capistrano
Texas,1,"Santa Maria, Califoria"
Texas,1,"Santa Rosa, CA"
Texas,2,Costa Mesa
Texas,1,"Ft. Lauderdale, FL"
Texas,1,"San Marcos, CA"
Texas,7,H-town
Texas,10,South
Texas,1,"Uvalde, TX"
Texas,4,earth
Texas,1,Happy Valley
Texas,1,"McLean, VA"
Texas,3,"Miami Beach, Florida"
Texas,21,Las Vegas
Texas,1,Memphis (901-683-0989)
Texas,1,"Telluride, CO"
Texas,1,"  || san antonio, texas||"
Texas,1,The Great Loop
Texas,2,Posted
Texas,1,"Lubbock, TX"
Texas,1,"Miramar, Florida"
Texas,1,"New York, NY | Orlando, FL"
Colorado,1,"Broomfield, CO"
Colorado,1,denver
Colorado,3,Boulder
Colorado,9,Pursuit of Happiness
Colorado,4,new yorker stranded in PA
Colorado,1,"Steamboat Springs, CO"
Colorado,1,"Winter Park, FL "
